1447895850 0 0 1 0
1447897497 0 1 1 0
1447900334 1 1 1 0
1447901081 1 1 2 0
1447901151 1 1 3 0
1447904960 2 1 3 0
1447905520 3 1 3 0
1447905978 4 1 3 0
1447962500 5 1 3 0
1447965695 6 1 3 0
1447965715 7 1 3 0
1447965844 8 1 3 0
1447965969 9 1 3 0
1447971139 9 1 3 1
1449020959 10 1 3 1
1449021353 11 1 3 1
1449023296 12 1 3 1
1449023519 12 2 3 1
1449023532 12 3 3 1
1449024416 13 3 3 1
1449024829 13 4 3 1
1449025229 14 4 3 1
1449115493 14 4 3 2
1449129075 14 4 3 3
1449186372 14 5 3 3
1449189117 15 5 3 3
1449189350 16 5 3 3
1449189474 17 5 3 3
1449189850 17 6 3 3
1449191218 17 7 3 3
1449192444 17 8 3 3
1449192690 18 8 3 3
1449192718 19 8 3 3
1449195276 19 9 3 3
1449199718 20 9 3 3
1449204268 20 10 3 3
1449204386 20 11 3 3
1449204611 20 12 3 3
1450232185 20 13 3 3
1450239526 20 14 3 3
1450239582 20 15 3 3
1450239709 20 16 3 3
1450254168 20 17 3 3
1450254242 20 18 3 3
