1446962230 0
1446965172 583
1447107812 585
1447109407 596
1447366080 671
1447366273 706
1447367690 714
1447368315 719
1447368554 719
1447368578 744
1447368649 759
1447369860 811
1447369879 865
1447372339 887
1447385241 960
1447385265 904
1447388636 920
1447389756 921
1447456424 920
1447456824 920
1447457094 941
1447467187 941
1447467617 981
1447470943 890
1447484045 844
1447526902 871
1447526914 1042
1447527505 1039
1447527526 1039
1447528169 1036
1447530994 1042
1447531117 1042
1447536105 1053
1447536165 1071
