1445300745 1 0
1445462056 1 1
1445462138 1 2
1445462343 1 3
1445466147 2 3
1446440045 3 3
1446440084 4 3
1446525839 5 3
1446529235 6 3
1446529385 7 3
1446596114 8 3
1446596346 9 3
1446596501 10 3
1446853023 11 3
1446853088 12 3
1446959904 12 4
1446959949 12 5
1446960110 12 6
1446960121 12 7
1446960172 12 8
1446960580 12 9
1447024286 12 10
1447047754 12 11
1447047779 12 12
1447047815 12 13
1447047839 12 14
1447047860 12 15
1447047889 12 16
1447047900 12 17
1447143072 12 18
1447143158 12 19
1447143201 12 20
1447143224 12 21
1447143242 12 22
1447203498 12 23
1447203522 12 24
1447203540 12 25
1447212842 13 25
1447213109 14 25
1447213470 15 25
1447213528 16 25
1447359972 16 26
1447734812 17 26
1447734933 18 26
1447744492 19 26
1447744574 20 26
1448067106 21 26
1448069659 22 26
1448077517 23 26
1448077618 24 26
1448127123 25 26
1448127222 26 26
1448133117 27 26
1448133195 28 26
1448135435 29 26
1448135572 30 26
1448283519 31 26
1448283582 32 26
1448670316 33 26
1448670606 34 26
1448682668 35 26
1448682756 36 26
