1446569566 538 0 0
1446574910 644 0 0
1446575452 653 0 0
1446576386 654 0 0
1446606940 693 0 0
1446608259 694 0 0
1446618853 700 0 0
1446660219 720 0 0
1446909967 723 0 0
1446931650 723 27 0
1446931720 768 27 0
1446932663 768 27 0
1446935551 790 27 0
1446935630 790 27 8
1446935668 790 27 8
1446937906 810 27 8
1446938039 810 27 8
1446948470 818 27 8
1446948759 821 27 8
1446949034 835 27 8
1446951592 852 27 8
1447041739 852 27 27
1447043528 852 27 47
1447045072 852 27 58
1447048883 852 27 96
1447124230 852 49 96
1447149837 852 49 216
1447150898 852 49 270
1447174030 860 49 270
1447179156 874 49 270
1447203890 874 102 270
1447210422 874 123 270
1447211005 874 127 270
1447220785 874 127 288
1447236705 893 127 288
1447281384 893 130 288
1447282757 893 131 288
1447284233 913 131 288
1447284597 916 131 288
1447284825 916 133 288
1447285325 916 134 288
1447285554 916 135 288
1447295960 917 135 288
