columbia.edu 1 28
KKs-MacBook-Pro.local 2 4
dyn-160-39-207-247.dyn.columbia.edu 3 2
dyn-160-39-206-187.dyn.columbia.edu 4 2
dyn-160-39-206-136.dyn.columbia.edu 5 2
dyn-160-39-207-251.dyn.columbia.edu 6 1
dyn-160-39-207-242.dyn.columbia.edu 7 1
dyn-160-39-206-70.dyn.columbia.edu 8 1
dyn-160-39-206-11.dyn.columbia.edu 9 1
