1446338179 0 0 1 0 0
1446857115 1 0 1 0 0
1446858032 2 0 1 0 0
1446859666 2 0 2 0 0
1446860016 2 0 2 1 0
1446864765 2 1 2 1 0
1446864777 2 2 2 1 0
1446865283 2 2 3 1 0
1446865386 2 2 4 1 0
1446865464 2 3 4 1 0
1446865476 2 4 4 1 0
1446865630 2 4 4 2 0
1446865695 2 4 4 3 0
1446866232 2 4 4 4 0
1446866487 3 4 4 4 0
1446867071 4 4 4 4 0
1446873506 4 4 5 4 0
1446876261 4 4 5 5 0
1446876284 4 4 5 6 0
1446876355 4 4 6 6 0
1446876974 4 4 7 6 0
1446877619 4 4 8 6 0
1446912307 5 4 8 6 0
1446913272 6 4 8 6 0
1446913889 7 4 8 6 0
1446914399 8 4 8 6 0
1447379415 9 4 8 6 0
1447385444 9 4 8 7 0
1447385478 9 4 8 8 0
1447386364 10 4 8 8 0
1447387767 10 4 8 9 0
1447389356 10 5 8 9 0
1447394281 10 5 8 10 0
1447394324 10 6 8 10 0
1447397652 10 6 8 11 0
1447431660 11 6 8 11 0
1447464053 11 7 8 11 0
1447464062 11 8 8 11 0
1447464368 11 9 8 11 0
1447464768 12 9 8 11 0
1447464948 13 9 8 11 0
1447465148 14 9 8 11 0
1447467595 15 9 8 11 0
1447468199 15 10 8 11 0
1447468465 15 11 8 11 0
1447469332 15 12 8 11 0
1447470515 16 12 8 11 0
1447476803 17 12 8 11 0
1447477419 18 12 8 11 0
1447478423 18 13 8 11 0
1447478485 18 14 8 11 0
1447480884 19 14 8 11 0
1447535165 19 14 9 11 0
1447537134 19 15 9 11 0
1447537505 19 16 9 11 0
1447537983 20 16 9 11 0
1447538038 20 16 10 11 0
1447538116 20 16 11 11 0
1447540737 20 16 12 11 0
1447541080 21 16 12 11 0
1447541091 22 16 12 11 0
1447541491 23 16 12 11 0
1447542431 23 17 12 11 0
1447542477 23 18 12 11 0
1447542555 23 19 12 11 0
1447543121 23 19 13 11 0
1447543140 23 19 14 11 0
1447543271 23 19 14 12 0
1447543481 23 19 15 12 0
1447543588 23 19 15 13 0
1447543616 23 19 15 14 0
1447543680 23 19 15 15 0
1447544161 23 19 16 15 0
1447545346 23 19 16 15 1
1447550384 23 20 16 15 1
1447550398 23 21 16 15 1
1447551383 23 21 17 15 1
1447551951 23 21 17 15 2
1447551976 23 21 17 15 3
1447552080 23 22 17 15 3
1447552442 23 22 17 15 4
1447552621 23 22 17 15 5
1447553677 23 23 17 15 5
1447553777 23 23 17 15 6
1447553816 23 24 17 15 6
1447555206 23 25 17 15 6
1447555404 24 25 17 15 6
1447555443 25 25 17 15 6
1447555588 26 25 17 15 6
1447555723 26 26 17 15 6
1447555766 26 27 17 15 6
1447556547 26 27 17 15 7
1447557658 26 27 18 15 7
1447557915 27 27 18 15 7
1447557927 28 27 18 15 7
1447558304 28 27 18 15 8
1447558516 29 27 18 15 8
1447558551 30 27 18 15 8
1447558821 31 27 18 15 8
1447559458 31 27 18 15 9
1447559470 31 27 18 15 10
1447559875 31 27 18 15 11
