1447379675 1 0 0
1447379752 38274 0 0
1447385604 38274 21 0
1447385849 39041 21 0
1447386330 53979 21 0
1447386588 55997 21 0
1447386972 63106 21 0
1447388118 82738 21 0
1447393430 82738 57 0
1447394916 82738 67 0
1447400266 82738 85 0
1447405546 82738 127 0
1447407692 82738 181 0
1447408253 82738 207 0
1447411480 211570 207 0
1447434822 211570 277 0
1447435116 211570 282 0
1447435228 211570 298 0
1447637397 214909 298 0
1447733523 214909 298 89
1447733557 233071 298 89
1447735218 277703 298 89
1447735634 294972 298 89
1447735803 294972 298 89
1447735997 295451 298 89
1447736049 295452 298 89
1447736312 295453 298 89
1447737321 295453 298 120
1447739416 313151 298 120
1447739610 313151 298 412
1447741041 313151 298 434
1447741106 313151 298 435
1447867131 313151 298 435
1447869741 333771 298 435
