1447379675 1 0 0
1447379752 2 0 0
1447385604 2 1 0
1447385849 3 1 0
1447386330 4 1 0
1447386588 5 1 0
1447386972 6 1 0
1447388118 7 1 0
1447393430 7 2 0
1447394916 7 3 0
1447400266 7 4 0
1447405546 7 5 0
1447407692 7 6 0
1447408253 7 7 0
1447411480 8 7 0
1447434822 8 8 0
1447435116 8 9 0
1447435228 8 10 0
1447637397 9 10 0
1447733523 9 10 1
1447733557 10 10 1
1447735218 11 10 1
1447735634 12 10 1
1447735803 13 10 1
1447735997 14 10 1
1447736049 15 10 1
1447736312 16 10 1
1447737321 16 10 2
1447739416 17 10 2
1447739610 17 10 3
1447741041 17 10 4
1447741106 17 10 5
1447867131 18 10 5
1447869741 19 10 5
